Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,litter_type_quality_tree_1,litter_type_quality_tree_2,quality_N,mesh_size,total_mass_g,sample_plot,plot,harvest,handling_loss_bags,handling_loss,initial_mass_g,Time_at_harvest,final_mass_g
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,10,5,5,NA,5 mm,10,R10,plot3,harvest2,NA,0,10,60,6.475
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,11,5,5,NA,5 mm,10,R11,plot3,harvest3,NA,0,10,220,5.22
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,12,5,5,NA,5 mm,10,R12,plot3,harvest4,NA,0,10,365,3.89
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,13,5,5,NA,5 mm,10,,,,10,0,10,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,14,5,5,NA,5 mm,10,,,,9.93,0,10,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,15,5,5,NA,5 mm,10,,,,10.07,0,10,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,1,5.002,4.998,NA,2 mm,10,R1,plot1,harvest1,NA,-0.07,9.93,30,8.802
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,2,4.998,5,NA,2 mm,9.998,R2,plot1,harvest2,NA,-0.07,9.928,60,8.432
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,3,4.006,5.007,NA,2 mm,9.013,R3,plot1,harvest3,NA,-0.07,8.943,220,4.95
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,4,5,5.002,NA,2 mm,10.002,R4,plot1,harvest4,NA,-0.07,9.932,365,3.442
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,5,5,5.003,NA,2 mm,10.003,R5,plot2,harvest1,NA,-0.07,9.933,30,8.097
